 11 2016.277859 3.555E-25 7.011E-02.09710.494 1772.41340.71-.001999          1 0 0          0 1 0  2  2  1        3  1  2      564626445984162224    15.0   21.0
 11 2016.695704 1.567E-29 8.649E-06.07870.352 2180.64280.61-.001024          0 2 0          0 1 0  6  5  2        7  0  7      544233443228712210    81.0   75.0
 11 2016.797705 1.652E-27 6.131E-01.09270.434 3392.74930.71-.007067          1 1 0          0 2 0  3  1  2        3  2  1      4742234433257122 7    81.0   75.0
 11 2016.797960 1.243E-21 3.342E+00.04850.263  888.63260.37-.011439          0 1 0          0 0 0  7  6  2        6  5  1      686520595967662423    15.0   13.0
 11 2016.819444 2.206E-27 6.296E-01.03910.298 3564.70500.51-.013644          0 0 1          0 1 0 10  6  4       10  6  5      4742234433297122 8    81.0   75.0
 11 2016.834730 3.726E-21 3.339E+00.04840.263  888.59860.36-.009739          0 1 0          0 0 0  7  6  1        6  5  2      686621595967662423    45.0   39.0
 11 2017.025655 2.018E-29 3.587E-04.04610.352 2724.04130.61-.007039          0 0 1          0 1 0  8  3  6        7  5  3      444233443230712210    81.0   75.0
 11 2017.934593 1.095E-29 7.680E-04.05080.235 3101.43970.40-.015492          0 1 0          0 0 0 13  9  5       14  6  8      344233443231712211    81.0   75.0
 11 2017.983258 1.548E-27 7.577E+00.03220.177 4050.51220.67-.001949          0 3 0          0 2 0  6  6  1        5  5  0      474426443384672224    81.0   75.0
 11 2017.990906 5.197E-28 7.631E+00.03220.177 4050.50360.67-.001939          0 3 0          0 2 0  6  6  0        5  5  1      374426443384672224    81.0   75.0
 11 2018.337450 1.151E-21 2.545E+00.06000.336 1122.70830.44-.003979          0 1 0          0 0 0  9  5  4        8  4  5      686421595967662423    57.0   51.0
 11 2018.375643 5.222E-28 1.346E+01.00760.161 4412.31470.310.000000          0 1 0          0 0 0 21  2 20       20  1 19      3742234433327122 0    81.0   75.0
 11 2018.477655 1.638E-27 1.408E+01.00760.161 4412.31210.310.000000          0 1 0          0 0 0 21  1 20       20  2 19      4742234433327122 0    81.0   75.0
 11 2018.627772 7.735E-27 7.477E-01.04260.278 3321.01330.55-.005079          0 0 1          0 1 0  9  6  4        9  6  3      474426443384672224    81.0   75.0
 11 2018.833523 3.753E-28 1.264E+00.08100.371 3713.08230.63-.003630          0 1 1          0 2 0  5  1  4        6  1  5      4742234433257122 7    81.0   75.0
 11 2018.913611 2.577E-27 7.472E-01.04310.280 3320.92960.55-.004389          0 0 1          0 1 0  9  6  3        9  6  4      474426443384672224    81.0   75.0
 11 2018.958640 2.457E-24 3.470E-01.10310.516 1772.41341.00-.007419          1 0 0          0 1 0  3  0  3        3  1  2      567521305910162545    21.0   21.0
 11 2019.044780 8.132E-26 7.004E-02.07920.432 2271.71200.63-.009729          0 0 1          0 1 0  6  1  5        6  3  4      574426303384672224    81.0   75.0
 11 2019.070180 5.984E-22 4.181E-01.08220.414  885.60020.640.006300          0 1 0          0 0 0  9  3  6        8  2  7      686421595967662423    57.0   51.0
 11 2019.410750 1.102E-26 9.006E-03.09270.450 1907.45020.71-.009369          0 0 1          0 1 0  3  1  2        3  3  1      574426303384672224    81.0   75.0
 11 2019.589060 3.020E-26 8.846E-02.06990.359 2552.85720.63-.002919          1 0 0          0 1 0  7  4  3        6  5  2      534426303384672224    45.0   39.0
