Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Difuse_horiz-circumsolar Global_tilt_reflectd_rad Upward_reflctd_radiation
.4530E+03 .1961E+01 .1334E+01 .3158E+00 .1384E+01 .1068E+01 .4182E+00 .3105E+00 .7287E+00 .3158E+00 .1526E+00 .2918E+00
.4540E+03 .2043E+01 .1394E+01 .3277E+00 .1444E+01 .1116E+01 .4369E+00 .3234E+00 .7604E+00 .3277E+00 .1596E+00 .3052E+00
.4550E+03 .2055E+01 .1405E+01 .3278E+00 .1453E+01 .1125E+01 .4403E+00 .3248E+00 .7652E+00 .3278E+00 .1609E+00 .3078E+00
.4560E+03 .2101E+01 .1440E+01 .3336E+00 .1487E+01 .1153E+01 .4514E+00 .3319E+00 .7833E+00 .3336E+00 .1651E+00 .3158E+00
.4570E+03 .2134E+01 .1466E+01 .3372E+00 .1512E+01 .1174E+01 .4596E+00 .3368E+00 .7964E+00 .3372E+00 .1682E+00 .3219E+00
.4580E+03 .2064E+01 .1419E+01 .3238E+00 .1461E+01 .1137E+01 .4449E+00 .3249E+00 .7698E+00 .3238E+00 .1630E+00 .3118E+00
.4590E+03 .2050E+01 .1414E+01 .3202E+00 .1452E+01 .1132E+01 .4431E+00 .3225E+00 .7656E+00 .3202E+00 .1624E+00 .3109E+00
.4600E+03 .2056E+01 .1420E+01 .3193E+00 .1457E+01 .1137E+01 .4451E+00 .3229E+00 .7680E+00 .3193E+00 .1633E+00 .3125E+00
.4610E+03 .2101E+01 .1455E+01 .3247E+00 .1490E+01 .1165E+01 .4560E+00 .3299E+00 .7859E+00 .3247E+00 .1675E+00 .3207E+00
.4620E+03 .2113E+01 .1467E+01 .3254E+00 .1500E+01 .1175E+01 .4598E+00 .3320E+00 .7918E+00 .3254E+00 .1693E+00 .3241E+00
.4630E+03 .2099E+01 .1459E+01 .3213E+00 .1490E+01 .1169E+01 .4574E+00 .3293E+00 .7867E+00 .3213E+00 .1686E+00 .3230E+00
.4640E+03 .2059E+01 .1436E+01 .3141E+00 .1464E+01 .1150E+01 .4500E+00 .3233E+00 .7733E+00 .3141E+00 .1662E+00 .3184E+00
.4650E+03 .2027E+01 .1418E+01 .3084E+00 .1444E+01 .1136E+01 .4446E+00 .3187E+00 .7633E+00 .3084E+00 .1645E+00 .3152E+00
.4660E+03 .2043E+01 .1433E+01 .3096E+00 .1458E+01 .1148E+01 .4493E+00 .3214E+00 .7707E+00 .3096E+00 .1666E+00 .3192E+00
.4670E+03 .2008E+01 .1410E+01 .3022E+00 .1431E+01 .1129E+01 .4418E+00 .3152E+00 .7571E+00 .3022E+00 .1641E+00 .3145E+00
.4680E+03 .2030E+01 .1428E+01 .3041E+00 .1448E+01 .1144E+01 .4477E+00 .3186E+00 .7664E+00 .3041E+00 .1666E+00 .3193E+00
